technology,dst_region,region,agent,sector,type,year,capacity
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2040,44.73990000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2040,86.52480000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2040,55.74080000000
CSP with Storage,Kenya,Kenya,A1,power,retrofit,2040,97.47640000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2040,28.03590000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2040,29.85240000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2040,49.30760000000
CSP without Storage,Kenya,Kenya,A1,power,retrofit,2040,47.45060000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,64.64850000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,114.29170000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,67.75190000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2040,125.13390000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,83.18320000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,65.02450000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,64.26830000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2040,102.77720000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2040,1.17500000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,52.43790000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,66.57080000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,56.09510000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,55.50080000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2040,6.28510000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2040,1.52950000000
Offshore Wind,Kenya,Kenya,A1,power,retrofit,2040,27.44140000000
