,timeslice,region,technology,year,agent,category,sector,LCOE
22541,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,16.80043828751
22542,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,79.12194973264
22543,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,16.80043828751
22544,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,50.90090865597
22545,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,31.07356724269
22546,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,19.86445852622
22547,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,19.86445852622
22548,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,30.74841528234
22549,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,30.74841528234
22550,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,23.77769456162
22551,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,30.74841528234
22552,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,23.77769456162
22553,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,30.74841528234
22554,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,23.77769456162
22555,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,30.74841528234
22556,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,23.77769456162
22557,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,30.74841528234
22558,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,0.00000000000
22559,"('winter', 'all-week', 'day')",Kenya,Oil Fired Gas Turbine (SCGT),2050,A1,retrofit,power,0.00000000000
22560,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,14.14328253654
22561,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,5.76880566238
22562,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,11.50153808919
22563,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,76.49741265784
22564,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,11.50153808919
22565,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,48.27637158117
22566,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,21.27288567251
22567,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,13.59915850927
22568,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,13.59915850927
22569,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,28.27826274135
22570,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,28.27826274135
22571,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,21.30754202063
22572,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,28.27826274135
22573,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,21.30754202063
22574,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,28.27826274135
22575,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,21.30754202063
22576,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,28.27826274135
22577,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,21.30754202063
22578,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,28.27826274135
22579,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,0.00000000000
22580,"('winter', 'all-week', 'day')",Kenya,Onshore Wind,2050,A1,retrofit,power,0.00000000000
22581,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,30.72517350691
22582,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,16.26367336515
22583,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,32.42565319195
22584,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,86.95314634510
22585,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,32.42565319195
22586,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,58.69534243036
22587,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,59.97348043462
22588,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.33936002308
22589,"('winter', 'all-week', 'day')",Kenya,Small Hydropower Plant (<10MW),2050,A1,retrofit,power,38.33936002308
