,region,year,agent,replacement_,asset_,month,day,hour,LCOE,category,name
77,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,summer,all-week,night,232.80793458968625,retrofit,A1
78,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,winter,all-week,day,38.62963780822227,retrofit,A1
79,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Biomass Power Plant,winter,all-week,night,232.80793458968625,retrofit,A1
80,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,autumn,all-week,day,38.62963780822226,retrofit,A1
81,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,autumn,all-week,night,232.80793458968623,retrofit,A1
82,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,spring,all-week,day,38.62963780822226,retrofit,A1
83,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,spring,all-week,night,232.80793458968623,retrofit,A1
84,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,summer,all-week,day,38.62963780822226,retrofit,A1
85,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,summer,all-week,night,232.80793458968623,retrofit,A1
86,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,winter,all-week,day,38.62963780822226,retrofit,A1
87,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Geothermal Power Plant,winter,all-week,night,232.80793458968623,retrofit,A1
88,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),autumn,all-week,day,38.62963780822226,retrofit,A1
89,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),autumn,all-week,night,232.8079345896862,retrofit,A1
90,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),spring,all-week,day,38.62963780822226,retrofit,A1
91,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),spring,all-week,night,232.8079345896862,retrofit,A1
92,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),summer,all-week,day,38.62963780822226,retrofit,A1
93,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),summer,all-week,night,232.8079345896862,retrofit,A1
94,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),winter,all-week,day,38.62963780822226,retrofit,A1
95,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Large Hydropower Plant (Dam) (>100MW),winter,all-week,night,232.8079345896862,retrofit,A1
96,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,autumn,all-week,day,38.62963780822227,retrofit,A1
97,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,autumn,all-week,night,232.80793458968628,retrofit,A1
98,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,spring,all-week,day,38.62963780822227,retrofit,A1
99,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,spring,all-week,night,232.80793458968628,retrofit,A1
100,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,summer,all-week,day,38.62963780822227,retrofit,A1
101,Kenya,2025,5e8f3448-6694-4066-96fc-0b84e47e5321,CSP with Storage,Light Fuel Oil Power Plant,summer,all-week,night,232.80793458968628,retrofit,A1
