lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
IDN10PWRHYD003,IDN,PWRHYD003,10,SidorejoMrica13107,80.0,1974,0.001
IDN12PWRHYD001,IDN,PWRHYD001,12,Siguraguraas13108,80.0,1974,0.286
IDN13PWRHYD001,IDN,PWRHYD001,13,Singkarak13110,80.0,1974,0.175
IDN9PWRHYD002,IDN,PWRHYD002,9,Sipansihaporas13111,80.0,1974,0.05
IDN14PWRHYD001,IDN,PWRHYD001,14,SutamiKarang13114,80.0,1974,0.105
IDN15PWRHYD001,IDN,PWRHYD001,15,Tanggaasahan13116,80.0,1974,0.317
IDN10PWRHYD002,IDN,PWRHYD002,10,TimoMrica13121,80.0,1974,0.012
IDN11PWRHYD002,IDN,PWRHYD002,11,TulungagungB13122,80.0,1974,0.036
IDN12PWRHYD002,IDN,PWRHYD002,12,Ubrugsaguling13123,80.0,1974,0.018
IDN13PWRHYD002,IDN,PWRHYD002,13,WlingiBranta13126,80.0,1974,0.054
IDN11PWRHYD003,IDN,PWRHYD003,11,WonorejoPame13127,80.0,1974,0.006
IDN0PWROHC002,IDN,PWROHC002,0,Ampenan12951,30.0,1996,0.056
IDN1PWROHC002,IDN,PWROHC002,1,BitungMenado12961,30.0,1996,0.057
IDN2PWROHC002,IDN,PWROHC002,2,Capacity Scaler,30.0,1996,0.1287290914
IDN3PWROHC002,IDN,PWROHC002,3,GunungMalang12972,30.0,1996,0.026
IDN4PWROHC002,IDN,PWROHC002,4,KayuMerahTe12979,30.0,1996,0.021
IDN5PWROHC002,IDN,PWROHC002,5,KendariRenta12981,30.0,1996,0.036
IDN6PWROHC002,IDN,PWROHC002,6,Minahasarent12998,30.0,1996,0.035
IDN7PWROHC002,IDN,PWROHC002,7,PemaronBOO13096,30.0,1996,0.045
IDN8PWROHC002,IDN,PWROHC002,8,Pesanggaran13098,30.0,1996,0.076
IDN9PWROHC002,IDN,PWROHC002,9,PesanggaranBOO13099,30.0,1996,0.075
IDN10PWROHC002,IDN,PWROHC002,10,PesanggaranBOT13100,30.0,1996,0.051
IDN11PWROHC002,IDN,PWROHC002,11,Silae13109,30.0,1996,0.044
IDN12PWROHC002,IDN,PWROHC002,12,SuppaParepa13113,30.0,1996,0.06
IDN13PWROHC002,IDN,PWROHC002,13,TalangPadang13115,30.0,1996,0.013
IDN14PWROHC002,IDN,PWROHC002,14,Tegineneng13118,30.0,1996,0.028
IDN15PWROHC002,IDN,PWROHC002,15,Tello13119,30.0,1996,0.05
IDN16PWROHC002,IDN,PWROHC002,16,TenauKupang13120,30.0,1996,0.035
