,timeslice,region,technology,year,agent,category,sector,LCOE
28875,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,24.61208779607
28876,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28877,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,16.02542569280
28878,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,16.02542569280
28879,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,14.70851043545
28880,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,10.70789679487
28881,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,10.70789679487
28882,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.12654483891
28883,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28884,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28885,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,11.69074693435
28886,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,24.61208779607
28887,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,7.20161784944
28888,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,16.02542569280
28889,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,16.02542569280
28890,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,0.00000000000
28891,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,0.00000000000
