,timeslice,commodity,region,technology,year,agent,category,sector,supply
53,"('summer', 'all-week', 'night')",hydro,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
54,"('summer', 'all-week', 'night')",hfo,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
55,"('summer', 'all-week', 'night')",lfo,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
56,"('summer', 'all-week', 'night')",solar,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
57,"('summer', 'all-week', 'night')",uranium,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
58,"('summer', 'all-week', 'night')",wind,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
59,"('summer', 'all-week', 'night')",electricity,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
60,"('summer', 'all-week', 'day')",CO2f,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
61,"('summer', 'all-week', 'day')",biomass,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
62,"('summer', 'all-week', 'day')",coal,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
63,"('summer', 'all-week', 'day')",gas,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
64,"('summer', 'all-week', 'day')",geothermal,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
65,"('summer', 'all-week', 'day')",hydro,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
66,"('summer', 'all-week', 'day')",hfo,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
67,"('summer', 'all-week', 'day')",lfo,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
68,"('summer', 'all-week', 'day')",solar,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
69,"('summer', 'all-week', 'day')",uranium,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
70,"('summer', 'all-week', 'day')",wind,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
71,"('summer', 'all-week', 'day')",electricity,Kenya,Gas Power Plant (CCGT),2020.00000000000,A1,newcapa,power,0.00000000000
