ProcessName,RegionName,Time,StdUnitCapacity,TechnicalLife,GrossEfficiency,OwnUseRate,Availability,MinLoadRate,CCSCaptureRate,DayStorageOutput,CAPEX,OPEX,DiscountRate,RunningCost
Unit,Unit,Year,MW,Year,%,%,%,%,%,GWh,USD/KW,USD/KW,%,USD/KWh
REW_GEO,ASEAN,2020,1000,40,10,6,95,0,0,0,4404.89,33.68,10,0.001
REW_HYD_LG,ASEAN,2020,1000,100,100,1,95,0,0,0,3732.38,36.96,10,0.001
REW_HYD_SM,ASEAN,2020,1000,100,100,1,95,0,0,0,2080.7,20.6,10,0.001
NUK_LWR,ASEAN,2020,5000,40,36.33333333,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2020,3000,30,30,7,95,0,0,0,5617.22,52.34,10,0.001
CCS_IGCC_BIO,ASEAN,2020,3000,30,30.33333333,7,95,0,85,0,5207.59,82.45,10,0.001
COA_SC_HC,ASEAN,2020,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2020,5000,40,45.33333333,7,95,0,0,0,2478.540285,49.5708057,10,0.001
CCS_USC_POS_HC,ASEAN,2020,5000,40,36,7,95,0,85,0,2592.797022,77.78391065,10,0.001
CCS_USC_OXY_HC,ASEAN,2020,5000,40,36,7,95,0,85,0,2743.763946,82.31291839,10,0.001
CCS_USC_PRE_HC,ASEAN,2020,5000,40,33.33333333,7,95,0,85,0,3228.624845,96.85874534,10,0.001
COA_SC_LN,ASEAN,2020,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2020,5000,40,43.33333333,7,95,0,0,0,2602.467299,52.04934598,10,0.001
CCS_USC_POS_LN,ASEAN,2020,5000,40,32.66666667,7,95,0,85,0,2722.436873,81.67310619,10,0.001
CCS_NGCC_POS,ASEAN,2020,5000,35,48.66666667,7,95,0,85,0,1140.796887,28.51992217,10,0.001
OIL_ST,ASEAN,2020,5000,30,36.66666667,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2020,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2020,1000,60,80,0,98,0,0,0.6,530.5,5.305,10,0.001
REW_WND_ON,ASEAN,2025,1000,20,100,0,95,0,0,0,1417.29,23.29,10,0.001
REW_WND_OFF,ASEAN,2025,1000,20,100,0,95,0,0,0,3349.85,48.75,10,0.001
REW_PV_GND,ASEAN,2025,1000,28,100,6,95,0,0,0,970.55,8.29,10,0.001
REW_PV_RFT,ASEAN,2025,1000,25,100,6,95,0,0,0,1773.02,11.35,10,0.001
REW_CSP_NST,ASEAN,2025,1000,25,100,0,95,0,0,0,4098,16.4,10,0.001
COA_SUB_HC,ASEAN,2025,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
COA_SUB_LN,ASEAN,2025,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2025,5000,30,47,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2025,5000,30,44,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2025,5000,30,57.66666667,7,95,0,0,0,1225.18,16.24,10,0.001
CCS_NGCC_OXY,ASEAN,2025,5000,30,48.33333333,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2025,5000,35,37.33333333,7,95,0,0,0,892.8499252,11.8349,10,0.001
REW_GEO,ASEAN,2025,1000,40,10,6,95,0,0,0,4297.28,32.94,10,0.001
REW_HYD_LG,ASEAN,2025,1000,100,100,1,95,0,0,0,3688.68,35.83,10,0.001
REW_HYD_SM,ASEAN,2025,1000,100,100,1,95,0,0,0,2059.42,20.01,10,0.001
NUK_LWR,ASEAN,2025,5000,40,36.66666667,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2025,3000,30,30,7,95,0,0,0,5364.45,50.97,10,0.001
CCS_IGCC_BIO,ASEAN,2025,3000,30,32.66666667,7,95,0,85,0,5010.38,77.44,10,0.001
COA_SC_HC,ASEAN,2025,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2025,5000,40,46.66666667,7,95,0,0,0,2413.315541,48.26631081,10,0.001
CCS_USC_POS_HC,ASEAN,2025,5000,40,38,7,95,0,85,0,2453.811599,73.61434797,10,0.001
CCS_USC_OXY_HC,ASEAN,2025,5000,40,38,7,95,0,85,0,2611.967425,78.35902275,10,0.001
CCS_USC_PRE_HC,ASEAN,2025,5000,40,35.66666667,7,95,0,85,0,3111.220305,93.33660915,10,0.001
COA_SC_LN,ASEAN,2025,5000,40,38,7,95,0,0,0,1535.798136,30.71596273,10,0.001
COA_IGCC_LN,ASEAN,2025,5000,40,44.66666667,7,95,0,0,0,2533.981318,50.67962635,10,0.001
CCS_USC_POS_LN,ASEAN,2025,5000,40,33.33333333,7,95,0,85,0,2576.502179,77.29506537,10,0.001
CCS_NGCC_POS,ASEAN,2025,5000,35,50.33333333,7,95,0,85,0,1096.920083,27.42300208,10,0.001
OIL_ST,ASEAN,2025,5000,30,37.33333333,7,95,0,0,0,1199.070766,28.77769839,10,0.001
STR_HPS,ASEAN,2025,1000,60,80,0,98,0,0,0.6,2394.092,47.88183,10,0.001
STR_BAT,ASEAN,2025,1000,60,80,0,98,0,0,0.6,338,3.38,10,0.001
REW_WND_ON,ASEAN,2030,1000,20,100,0,95,0,0,0,1379.01,22.42,10,0.001
REW_WND_OFF,ASEAN,2030,1000,20,100,0,95,0,0,0,3188.57,46.54,10,0.001
REW_PV_GND,ASEAN,2030,1000,30,100,6,95,0,0,0,835.51,7.24,10,0.001
REW_PV_RFT,ASEAN,2030,1000,25,100,6,95,0,0,0,1387.43,10.56,10,0.001
REW_CSP_NST,ASEAN,2030,1000,25,100,0,95,0,0,0,3976,15.9,10,0.001
COA_SUB_HC,ASEAN,2030,5000,30,35,7,95,0,0,0,1070.99,21.42,10,0.001
COA_SUB_LN,ASEAN,2030,5000,30,34,7,95,0,0,0,1124.54,22.49,10,0.001
COA_USC_HC,ASEAN,2030,5000,30,48,7,95,0,0,0,1653.447269,33.06894538,10,0.001
COA_USC_LN,ASEAN,2030,5000,30,45,7,95,0,0,0,1736.119632,34.72239265,10,0.001
GAS_CC,ASEAN,2030,5000,30,59,7,95,0,0,0,1225.18,16.24,10,0.001
CCS_NGCC_OXY,ASEAN,2030,5000,30,50,7,95,0,85,0,2192.06,61.55,10,0.001
GAS_GT,ASEAN,2030,5000,35,38,7,95,0,0,0,892.8499252,11.8349,10,0.001
REW_GEO,ASEAN,2030,1000,40,10,6,95,0,0,0,4189.67,32.2,10,0.001
REW_HYD_LG,ASEAN,2030,1000,100,100,1,95,0,0,0,3644.94,34.71,10,0.001
REW_HYD_SM,ASEAN,2030,1000,100,100,1,95,0,0,0,2038.15,19.41,10,0.001
NUK_LWR,ASEAN,2030,5000,40,37,6,95,60,0,0,4073.16,44.32,10,0.001
BIO_BIO,ASEAN,2030,3000,30,30,7,95,0,0,0,5111.67,49.59,10,0.001
CCS_IGCC_BIO,ASEAN,2030,3000,30,35,7,95,0,85,0,4813.17,72.43,10,0.001
COA_SC_HC,ASEAN,2030,5000,40,40,7,95,0,0,0,1462.664892,29.25329784,10,0.001
COA_IGCC_HC,ASEAN,2030,5000,40,48,7,95,0,0,0,2348.090796,46.96181592,10,0.001
CCS_USC_POS_HC,ASEAN,2030,5000,40,40,7,95,0,85,0,2314.826177,69.4447853,10,0.001
CCS_USC_OXY_HC,ASEAN,2030,5000,40,40,7,95,0,85,0,2480.170903,74.4051271,10,0.001
