,timeslice,commodity,region,installed,technology,year,agent,category,sector,supply
9761,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Medium Hydropower Plant (10-100MW),2050.00000000000,A1,retrofit,power,0.01801743527
9762,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Oil Fired Gas Turbine (SCGT),2050.00000000000,A1,retrofit,power,0.06535565107
9763,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.01082951502
9764,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Solar PV (Distributed with Storage),2050.00000000000,A1,retrofit,power,0.00038626587
9765,"('winter', 'all-week', 'night')",electricity,Kenya,2020.00000000000,Solar PV (Utility),2050.00000000000,A1,retrofit,power,0.00000000000
9766,"('winter', 'all-week', 'night')",electricity,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,3.46955708762
9767,"('winter', 'all-week', 'night')",electricity,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,2.21977868278
9768,"('winter', 'all-week', 'night')",electricity,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,2.06344319338
9769,"('winter', 'all-week', 'night')",electricity,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.63586238804
9770,"('winter', 'all-week', 'night')",electricity,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,5.40636672533
9771,"('winter', 'all-week', 'night')",electricity,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,0.72398384439
9772,"('winter', 'all-week', 'night')",electricity,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,5.31877554287
9773,"('winter', 'all-week', 'night')",electricity,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.29582994457
9774,"('winter', 'all-week', 'night')",electricity,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,2.55067260441
9775,"('winter', 'all-week', 'night')",electricity,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,3.52035396656
9776,"('winter', 'all-week', 'night')",electricity,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,6.88456598194
9777,"('winter', 'all-week', 'night')",electricity,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.30932938445
9778,"('winter', 'all-week', 'night')",electricity,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9779,"('winter', 'all-week', 'night')",electricity,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9780,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.82053065588
9781,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9782,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Large Hydropower Plant (Dam) (>100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9783,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Light Fuel Oil Power Plant,2050.00000000000,A1,retrofit,power,2.90631958311
9784,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Medium Hydropower Plant (10-100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9785,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Oil Fired Gas Turbine (SCGT),2050.00000000000,A1,retrofit,power,5.04685431571
9786,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9787,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Solar PV (Distributed with Storage),2050.00000000000,A1,retrofit,power,0.00000000000
9788,"('winter', 'all-week', 'day')",CO2f,Kenya,2020.00000000000,Solar PV (Utility),2050.00000000000,A1,retrofit,power,0.00000000000
9789,"('winter', 'all-week', 'day')",CO2f,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9790,"('winter', 'all-week', 'day')",CO2f,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9791,"('winter', 'all-week', 'day')",CO2f,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9792,"('winter', 'all-week', 'day')",CO2f,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,63.43950695746
9793,"('winter', 'all-week', 'day')",CO2f,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,510.26208603715
9794,"('winter', 'all-week', 'day')",CO2f,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,40.52176920250
9795,"('winter', 'all-week', 'day')",CO2f,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9796,"('winter', 'all-week', 'day')",CO2f,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9797,"('winter', 'all-week', 'day')",CO2f,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,254.47866626079
9798,"('winter', 'all-week', 'day')",CO2f,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,332.25699436037
9799,"('winter', 'all-week', 'day')",CO2f,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9800,"('winter', 'all-week', 'day')",CO2f,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9801,"('winter', 'all-week', 'day')",CO2f,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9802,"('winter', 'all-week', 'day')",CO2f,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9803,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9804,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9805,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Large Hydropower Plant (Dam) (>100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9806,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Light Fuel Oil Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9807,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Medium Hydropower Plant (10-100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9808,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Oil Fired Gas Turbine (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9809,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9810,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Solar PV (Distributed with Storage),2050.00000000000,A1,retrofit,power,0.00000000000
9811,"('winter', 'all-week', 'day')",biomass,Kenya,2020.00000000000,Solar PV (Utility),2050.00000000000,A1,retrofit,power,0.00000000000
9812,"('winter', 'all-week', 'day')",biomass,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9813,"('winter', 'all-week', 'day')",biomass,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9814,"('winter', 'all-week', 'day')",biomass,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9815,"('winter', 'all-week', 'day')",biomass,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9816,"('winter', 'all-week', 'day')",biomass,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9817,"('winter', 'all-week', 'day')",biomass,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9818,"('winter', 'all-week', 'day')",biomass,Kenya,2040.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9819,"('winter', 'all-week', 'day')",biomass,Kenya,2040.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9820,"('winter', 'all-week', 'day')",biomass,Kenya,2045.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9821,"('winter', 'all-week', 'day')",biomass,Kenya,2045.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9822,"('winter', 'all-week', 'day')",biomass,Kenya,2045.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9823,"('winter', 'all-week', 'day')",biomass,Kenya,2045.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9824,"('winter', 'all-week', 'day')",biomass,Kenya,2050.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9825,"('winter', 'all-week', 'day')",biomass,Kenya,2050.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9826,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9827,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9828,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Large Hydropower Plant (Dam) (>100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9829,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Light Fuel Oil Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9830,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Medium Hydropower Plant (10-100MW),2050.00000000000,A1,retrofit,power,0.00000000000
9831,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Oil Fired Gas Turbine (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
9832,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Onshore Wind,2050.00000000000,A1,retrofit,power,0.00000000000
9833,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Solar PV (Distributed with Storage),2050.00000000000,A1,retrofit,power,0.00000000000
9834,"('winter', 'all-week', 'day')",coal,Kenya,2020.00000000000,Solar PV (Utility),2050.00000000000,A1,retrofit,power,0.00000000000
9835,"('winter', 'all-week', 'day')",coal,Kenya,2025.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9836,"('winter', 'all-week', 'day')",coal,Kenya,2030.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9837,"('winter', 'all-week', 'day')",coal,Kenya,2035.00000000000,Geothermal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9838,"('winter', 'all-week', 'day')",coal,Kenya,2040.00000000000,Biomass Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9839,"('winter', 'all-week', 'day')",coal,Kenya,2040.00000000000,Coal Power Plant,2050.00000000000,A1,retrofit,power,0.00000000000
9840,"('winter', 'all-week', 'day')",coal,Kenya,2040.00000000000,Gas Power Plant (SCGT),2050.00000000000,A1,retrofit,power,0.00000000000
