,timeslice,region,technology,year,agent,category,sector,LCOE
20501,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,42.44633042738
20502,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,42.44633042738
20503,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,16.22729404265
20504,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,30.66769417736
20505,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,16.22729404265
20506,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,30.66769417736
20507,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,16.22729404265
20508,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,30.66769417736
20509,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,31.02778416229
20510,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,16.22729404265
20511,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,30.66769417736
20512,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,31.02778416229
20513,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,16.22729404265
20514,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,0.00000000000
20515,"('spring', 'all-week', 'day')",Kenya,Large Hydropower Plant (Dam) (>100MW),2050,A1,retrofit,power,0.00000000000
20516,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,15.87591175898
20517,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,6.86540643608
20518,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.07013336957
20519,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,77.58030592186
20520,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,8.07013336957
20521,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,49.35926484520
20522,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,27.58030790117
20523,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,17.95809340656
20524,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,17.95809340656
20525,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,6.86540643608
20526,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,15.87591175898
20527,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,6.86540643608
20528,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,15.87591175898
20529,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,6.86540643608
20530,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,15.87591175898
20531,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,22.32673568089
20532,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,6.86540643608
20533,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,15.87591175898
20534,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,22.32673568089
20535,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,6.86540643608
20536,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
20537,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Power Plant,2050,A1,retrofit,power,0.00000000000
20538,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,14.07760574819
20539,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,5.72723807482
20540,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.73224155049
20541,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,75.96412142884
20542,"('spring', 'all-week', 'day')",Kenya,Light Fuel Oil Standalone Generator (1kW),2050,A1,retrofit,power,6.73224155049
