technology,dst_region,region,agent,sector,type,year,capacity
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2040,4.70770000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2040,1.82690000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2040,1.26700000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2040,0.15470000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2040,0.09810000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2045,0.22070000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,37.30350000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,31.22640000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,60.87330000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,56.41930000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,54.86880000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2045,7.95060000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2045,3.96630000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2045,5.08980000000
Geothermal Power Plant,Kenya,Kenya,A1,power,retrofit,2045,2.00000000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2045,1.22370000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2045,0.70500000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2045,4.70770000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2045,1.09620000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2045,0.76020000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2045,0.09280000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2045,0.05890000000
Biomass Power Plant,Kenya,Kenya,A1,power,retrofit,2050,0.13240000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,37.30350000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,31.22640000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,60.87330000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,56.41930000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,54.86880000000
Coal Power Plant,Kenya,Kenya,A1,power,retrofit,2050,55.40010000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2050,7.95060000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2050,3.96630000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2050,5.08980000000
Gas Power Plant (SCGT),Kenya,Kenya,A1,power,retrofit,2050,6.01270000000
Large Hydropower Plant (Dam) (>100MW),Kenya,Kenya,A1,power,retrofit,2050,0.73420000000
Light Fuel Oil Power Plant,Kenya,Kenya,A1,power,retrofit,2050,0.42300000000
Medium Hydropower Plant (10-100MW),Kenya,Kenya,A1,power,retrofit,2050,4.70770000000
Oil Fired Gas Turbine (SCGT),Kenya,Kenya,A1,power,retrofit,2050,0.65770000000
Onshore Wind,Kenya,Kenya,A1,power,retrofit,2050,0.45610000000
Solar PV (Distributed with Storage),Kenya,Kenya,A1,power,retrofit,2050,0.05570000000
Solar PV (Utility),Kenya,Kenya,A1,power,retrofit,2050,0.03530000000
