ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MUS$2010/PJ_a,-,MUS$2010/PJ,-,MUS$2010/PJ,-,PJ,%,PJ,Years,-,PJ,%,-,-,-,-,Retrofit
Onshore Wind,Venezuela,2030,fixed,47.786022323693565,1.0,1.3787417554540842,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.2,1.0,100.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Venezuela,2040,fixed,45.396689497716906,1.0,1.1834094368340944,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.2,1.0,100.0,0.1,energy,wind,electricity,1.0
Onshore Wind,Venezuela,2050,fixed,43.00735667174024,1.0,1.1834094368340944,1.0,3.17e-06,1.0,10.0,5.0,10000.0,30.0,0.2,1.0,100.0,0.1,energy,wind,electricity,1.0
Small Hydropower Plant (<10MW),Venezuela,2015,fixed,110.95256215119231,1.0,3.328576864535769,1.0,3.17e-06,1.0,10.0,5.0,1.513728,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Venezuela,2025,fixed,110.95256215119231,1.0,3.328576864535769,1.0,3.17e-06,1.0,10.0,5.0,1.513728,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Venezuela,2030,fixed,110.95256215119231,1.0,3.328576864535769,1.0,3.17e-06,1.0,10.0,5.0,1.513728,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Venezuela,2040,fixed,110.95256215119231,1.0,3.328576864535769,1.0,3.17e-06,1.0,10.0,5.0,1.513728,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Small Hydropower Plant (<10MW),Venezuela,2050,fixed,110.95256215119231,1.0,3.328576864535769,1.0,3.17e-06,1.0,10.0,5.0,1.513728,60.0,0.63,10.0,100.0,0.1,energy,hydro,electricity,1.0
Solar PV (Distributed with Storage),Venezuela,2015,fixed,216.8949771689498,1.0,2.739726027397261,1.0,3.17e-06,1.0,10.0,5.0,10000.0,24.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Venezuela,2025,fixed,108.28893962455608,1.0,2.739726027397261,1.0,3.17e-06,1.0,10.0,5.0,10000.0,24.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Venezuela,2030,fixed,85.6164383561644,1.0,2.739726027397261,1.0,3.17e-06,1.0,10.0,5.0,10000.0,24.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Venezuela,2040,fixed,66.30517503805176,1.0,2.739726027397261,1.0,3.17e-06,1.0,10.0,5.0,10000.0,24.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Distributed with Storage),Venezuela,2050,fixed,66.30517503805176,1.0,2.739726027397261,1.0,3.17e-06,1.0,10.0,5.0,10000.0,24.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Venezuela,2015,fixed,60.21023592085237,1.0,0.7382039573820397,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Venezuela,2025,fixed,53.37582445459159,1.0,0.7382039573820397,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Venezuela,2030,fixed,49.958460172501276,1.0,0.7382039573820397,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Venezuela,2040,fixed,43.124048706240494,1.0,0.7382039573820397,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
Solar PV (Utility),Venezuela,2050,fixed,36.28963723997971,1.0,0.7382039573820397,1.0,3.17e-06,1.0,10.0,5.0,10000.0,25.0,0.28,1.0,100.0,0.1,energy,solar,electricity,1.0
